2026-01-05 19:14:25,513 | RESULT | Process-11 | Time taken: 6.738949298858643 seconds
2026-01-05 19:14:25,641 | INFO | MainProcess | Found a solution 57
2026-01-05 19:14:25,641 | INFO | MainProcess | [Test k=221, w=57] Time: 6.87 seconds
2026-01-05 19:14:27,147 | INFO | Process-12 | Number of variables: 375277
2026-01-05 19:14:27,147 | INFO | Process-12 | Number of clauses: 1883108
2026-01-05 19:14:27,147 | INFO | Process-12 | Real nums of clauses: 1884490
2026-01-05 19:14:27,148 | INFO | Process-12 | Real nums of variables: 375275
2026-01-05 19:14:28,230 | INFO | Process-12 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w58.cnf
2026-01-05 19:14:28,232 | INFO | Process-12 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w58.cnf
2026-01-05 19:14:31,071 | INFO | Process-12 | [PAINLESS] status=SAT rc=10 time=2.84s
2026-01-05 19:14:31,071 | RESULT | Process-12 | [PAINLESS] result: status=SAT time=2.84s rc=10
2026-01-05 19:14:31,072 | RESULT | Process-12 | [PAINLESS] Shortcut: SAT at width=58
2026-01-05 19:14:31,072 | RESULT | Process-12 | Time taken: 5.428036689758301 seconds
2026-01-05 19:14:31,195 | INFO | MainProcess | Found a solution 58
2026-01-05 19:14:31,196 | INFO | MainProcess | [Test k=221, w=58] Time: 5.55 seconds
2026-01-05 19:14:32,590 | INFO | Process-13 | Number of variables: 375277
2026-01-05 19:14:32,590 | INFO | Process-13 | Number of clauses: 1888152
2026-01-05 19:14:32,591 | INFO | Process-13 | Real nums of clauses: 1889558
2026-01-05 19:14:32,591 | INFO | Process-13 | Real nums of variables: 375275
2026-01-05 19:14:33,591 | INFO | Process-13 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w59.cnf
2026-01-05 19:14:33,591 | INFO | Process-13 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w59.cnf
2026-01-05 19:14:36,701 | INFO | Process-13 | [PAINLESS] status=SAT rc=10 time=3.11s
2026-01-05 19:14:36,701 | RESULT | Process-13 | [PAINLESS] result: status=SAT time=3.11s rc=10
2026-01-05 19:14:36,702 | RESULT | Process-13 | [PAINLESS] Shortcut: SAT at width=59
2026-01-05 19:14:36,702 | RESULT | Process-13 | Time taken: 5.504279613494873 seconds
2026-01-05 19:14:36,832 | INFO | MainProcess | Found a solution 59
2026-01-05 19:14:36,833 | INFO | MainProcess | [Test k=221, w=59] Time: 5.64 seconds
2026-01-05 19:14:38,273 | INFO | Process-14 | Number of variables: 375277
2026-01-05 19:14:38,274 | INFO | Process-14 | Number of clauses: 1893196
2026-01-05 19:14:38,279 | INFO | Process-14 | Real nums of clauses: 1894626
2026-01-05 19:14:38,279 | INFO | Process-14 | Real nums of variables: 375275
2026-01-05 19:14:39,287 | INFO | Process-14 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w60.cnf
2026-01-05 19:14:39,289 | INFO | Process-14 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w60.cnf
2026-01-05 19:14:42,137 | INFO | Process-14 | [PAINLESS] status=SAT rc=10 time=2.85s
2026-01-05 19:14:42,137 | RESULT | Process-14 | [PAINLESS] result: status=SAT time=2.85s rc=10
2026-01-05 19:14:42,137 | RESULT | Process-14 | [PAINLESS] Shortcut: SAT at width=60
2026-01-05 19:14:42,137 | RESULT | Process-14 | Time taken: 5.3025734424591064 seconds
2026-01-05 19:14:42,278 | INFO | MainProcess | Found a solution 60
2026-01-05 19:14:42,279 | INFO | MainProcess | [Test k=221, w=60] Time: 5.45 seconds
2026-01-05 19:14:43,793 | INFO | Process-15 | Number of variables: 375277
2026-01-05 19:14:43,799 | INFO | Process-15 | Number of clauses: 1898240
2026-01-05 19:14:43,799 | INFO | Process-15 | Real nums of clauses: 1899694
2026-01-05 19:14:43,799 | INFO | Process-15 | Real nums of variables: 375275
2026-01-05 19:14:44,874 | INFO | Process-15 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w61.cnf
2026-01-05 19:14:44,875 | INFO | Process-15 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w61.cnf
2026-01-05 19:14:51,694 | INFO | Process-15 | [PAINLESS] status=SAT rc=10 time=6.82s
2026-01-05 19:14:51,695 | RESULT | Process-15 | [PAINLESS] result: status=SAT time=6.82s rc=10
2026-01-05 19:14:51,695 | RESULT | Process-15 | [PAINLESS] Shortcut: SAT at width=61
2026-01-05 19:14:51,695 | RESULT | Process-15 | Time taken: 9.414387941360474 seconds
2026-01-05 19:14:51,817 | INFO | MainProcess | Found a solution 61
2026-01-05 19:14:51,818 | INFO | MainProcess | [Test k=221, w=61] Time: 9.54 seconds
2026-01-05 19:14:53,333 | INFO | Process-16 | Number of variables: 375277
2026-01-05 19:14:53,333 | INFO | Process-16 | Number of clauses: 1903284
2026-01-05 19:14:53,333 | INFO | Process-16 | Real nums of clauses: 1904762
2026-01-05 19:14:53,333 | INFO | Process-16 | Real nums of variables: 375275
2026-01-05 19:14:54,314 | INFO | Process-16 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w62.cnf
2026-01-05 19:14:54,315 | INFO | Process-16 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w62.cnf
2026-01-05 19:14:59,130 | INFO | Process-16 | [PAINLESS] status=SAT rc=10 time=4.82s
2026-01-05 19:14:59,131 | RESULT | Process-16 | [PAINLESS] result: status=SAT time=4.82s rc=10
2026-01-05 19:14:59,131 | RESULT | Process-16 | [PAINLESS] Shortcut: SAT at width=62
2026-01-05 19:14:59,131 | RESULT | Process-16 | Time taken: 7.311567068099976 seconds
2026-01-05 19:14:59,259 | INFO | MainProcess | Found a solution 62
2026-01-05 19:14:59,260 | INFO | MainProcess | [Test k=221, w=62] Time: 7.44 seconds
2026-01-05 19:15:00,783 | INFO | Process-17 | Number of variables: 375277
2026-01-05 19:15:00,783 | INFO | Process-17 | Number of clauses: 1908328
2026-01-05 19:15:00,784 | INFO | Process-17 | Real nums of clauses: 1909830
2026-01-05 19:15:00,784 | INFO | Process-17 | Real nums of variables: 375275
2026-01-05 19:15:01,806 | INFO | Process-17 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w63.cnf
2026-01-05 19:15:01,806 | INFO | Process-17 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w63.cnf
2026-01-05 19:15:07,761 | INFO | Process-17 | [PAINLESS] status=SAT rc=10 time=5.95s
2026-01-05 19:15:07,762 | RESULT | Process-17 | [PAINLESS] result: status=SAT time=5.95s rc=10
2026-01-05 19:15:07,762 | RESULT | Process-17 | [PAINLESS] Shortcut: SAT at width=63
2026-01-05 19:15:07,762 | RESULT | Process-17 | Time taken: 8.50027322769165 seconds
2026-01-05 19:15:07,891 | INFO | MainProcess | Found a solution 63
2026-01-05 19:15:07,891 | INFO | MainProcess | [Test k=221, w=63] Time: 8.63 seconds
2026-01-05 19:15:09,334 | INFO | Process-18 | Number of variables: 375277
2026-01-05 19:15:09,334 | INFO | Process-18 | Number of clauses: 1913372
2026-01-05 19:15:09,335 | INFO | Process-18 | Real nums of clauses: 1914898
2026-01-05 19:15:09,335 | INFO | Process-18 | Real nums of variables: 375275
2026-01-05 19:15:10,274 | INFO | Process-18 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w64.cnf
2026-01-05 19:15:10,275 | INFO | Process-18 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w64.cnf
2026-01-05 19:15:16,615 | INFO | Process-18 | [PAINLESS] status=SAT rc=10 time=6.34s
2026-01-05 19:15:16,615 | RESULT | Process-18 | [PAINLESS] result: status=SAT time=6.34s rc=10
2026-01-05 19:15:16,616 | RESULT | Process-18 | [PAINLESS] Shortcut: SAT at width=64
2026-01-05 19:15:16,616 | RESULT | Process-18 | Time taken: 8.722837209701538 seconds
